Term	Ont	N	Up	Down	P.Up	P.Down
regulation of multicellular organismal process	BP	2116	108	91	5.8319522974805e-21	2.95806858989274e-06
regulation of multicellular organismal development	BP	1477	80	71	1.70681205435329e-16	1.02456007274158e-06
cell communication	BP	3887	145	149	3.30811434831071e-16	6.3396567627376e-07
multicellular organismal process	BP	4730	164	179	6.06809870886705e-16	3.49840452100354e-08
signaling	BP	3849	143	150	9.62311342020643e-16	1.90632873949498e-07
anatomical structure development	BP	4024	142	151	1.23605295923279e-13	1.93626316186447e-06
system development	BP	3331	125	136	1.488380974138e-13	6.4647388785845e-08
multicellular organism development	BP	3724	132	146	1.54231795483054e-12	2.1695868486212e-07
regulation of cell differentiation	BP	1372	68	65	4.07558962561673e-12	5.23035785040986e-06
cell differentiation	BP	2938	111	116	6.07935842817498e-12	5.7768340190724e-06
cell development	BP	1727	65	91	8.03058161789334e-07	1.74248243522508e-10
regulation of transport	BP	1478	66	74	8.30321987929612e-10	1.14755445808741e-07
regulation of cell development	BP	817	40	53	2.95499804009142e-07	2.62062747549864e-09
plasma membrane	CC	3175	114	144	7.64487873741375e-11	8.67929502118361e-12
cell periphery	CC	3272	118	145	2.00001282938685e-11	4.23636330962404e-11
plasma membrane part	CC	1671	71	85	1.39251725934765e-09	4.65626270112576e-09
molecular transducer activity	MF	708	34	41	3.81890424419102e-06	3.65212718977907e-06
