Pathway	N	Up	Down	P.Up	P.Down
Neuroactive ligand-receptor interaction	154	1	8	0.710566885377652	0.000183924861203292
p53 signaling pathway	58	4	1	0.00116804709296597	0.449988874699554
Acute myeloid leukemia	59	4	0	0.00124537018732741	1
PI3K-Akt signaling pathway	269	8	3	0.00139610737796149	0.521894141652462
Complement and coagulation cascades	34	3	0	0.00246860653789366	1
MicroRNAs in cancer	125	5	0	0.00324115927092782	1
Transcriptional misregulation in cancer	131	5	1	0.00396107405738763	0.741733086436349
HIF-1 signaling pathway	89	4	0	0.00556663886926038	1
Cellular senescence	142	5	1	0.00556723918250372	0.769617345058085
Taste transduction	39	0	3	1	0.00732837308090973
Amyotrophic lateral sclerosis (ALS)	46	0	3	1	0.0115573686360078
Serotonergic synapse	89	0	4	1	0.0131337058897165
ECM-receptor interaction	68	3	0	0.01700690010033	1
Terpenoid backbone biosynthesis	21	0	2	1	0.0192305021108598
Pathways in cancer	425	8	4	0.0203798745709166	0.636502081182016
cAMP signaling pathway	159	0	5	1	0.0237581968067626
Glycine, serine and threonine metabolism	33	2	0	0.0283415437027038	1
Rap1 signaling pathway	173	2	5	0.402462299484894	0.0325671401414113
Prostate cancer	88	3	1	0.0332367183835502	0.596670808797686
Ferroptosis	37	2	0	0.0350226377319994	1
