Pathway	N	Up	Down	P.Up	P.Down
Jak-STAT signaling pathway	95	12	1	7.87607598177706e-09	0.75743253324288
Neuroactive ligand-receptor interaction	154	2	13	0.637173941792442	4.53703677187917e-07
Cytokine-cytokine receptor interaction	118	11	1	7.81663760066006e-07	0.828103011089121
Hematopoietic cell lineage	46	7	0	3.15753287231544e-06	1
cAMP signaling pathway	159	2	12	0.654456285893607	4.12525702294609e-06
Complement and coagulation cascades	34	6	0	6.70091117485409e-06	1
Dopaminergic synapse	119	0	10	1	1.03369701312954e-05
Staphylococcus aureus infection	23	5	0	1.38912231913696e-05	1
Transcriptional misregulation in cancer	131	10	3	1.50636612831418e-05	0.304762832477312
PI3K-Akt signaling pathway	269	14	5	2.5550582516697e-05	0.364744540021335
Proteoglycans in cancer	171	11	1	2.83258242677235e-05	0.922432651273694
Osteoclast differentiation	90	8	1	3.67331430758263e-05	0.738594969359261
MAPK signaling pathway	255	13	6	6.17072948019182e-05	0.175750828474427
MicroRNAs in cancer	125	9	1	6.41102680292134e-05	0.845225380960816
Acute myeloid leukemia	59	6	0	0.000168000338671654	1
TNF signaling pathway	84	7	2	0.000170809622294368	0.352311010250835
Morphine addiction	86	1	7	0.702970917051149	0.000275482292500369
Pathways in cancer	425	16	9	0.000315347502567852	0.177285100469699
Serotonergic synapse	89	0	7	1	0.000340363445831578
Adrenergic signaling in cardiomyocytes	119	1	8	0.81394571226955	0.000378916039168117
