genes	Symbol	Entrezid	Genename	logFC.a1_DJvsC	logFC.a2_JvsC	logFC.a3_DvsC	logCPM	F	PValue	FDR
ENSMUSG00000032802	Srxn1	76650	sulfiredoxin 1 homolog (S. cerevisiae)	-0.881698513322769	-0.732384826170876	-0.0736438916878904	6.58490207089338	57.7287407776785	3.4310082782265e-14	2.69880468582765e-10
ENSMUSG00000087006	Gm13889	620695	predicted gene 13889	-1.92148464033804	-0.948412733524615	-1.09776416190922	4.69059464641438	57.3432301455028	3.80488465505096e-14	2.69880468582765e-10
ENSMUSG00000021062	Rab15	104886	RAB15, member RAS oncogene family	-0.802998149744539	-0.787015214118317	0.200440761157021	4.94507498777708	44.7253179456288	1.60281744983448e-12	7.10832237576887e-09
ENSMUSG00000025432	Avil	11567	advillin	-2.6926479086308	-1.31406518192462	-3.32800433910509	0.976979381654132	44.0472283523255	2.00432042175916e-12	7.10832237576887e-09
ENSMUSG00000022454	Nell2	54003	NEL-like 2	0.909444264171202	0.958049772390185	0.273642647039961	5.25783582970821	42.8204150100313	3.02394630125695e-12	8.57954044592621e-09
ENSMUSG00000037447	Arid5a	214855	AT rich interactive domain 5A (MRF1-like)	-0.896650127022701	-1.14880565147177	0.164524717913291	3.48336261619576	36.9725504688581	2.45244299198133e-11	5.79839271404119e-08
ENSMUSG00000031492	Chrnb3	108043	cholinergic receptor, nicotinic, beta polypeptide 3	0.930720002918655	0.737502560846371	0.117330361780029	6.28038829303672	29.2636206211206	6.56435687760513e-10	1.33031380951009e-06
ENSMUSG00000029552	Tes	21753	testis derived transcript	-0.738667619864581	-0.672946330029226	0.551294147409298	3.02859452887047	28.3545562428704	8.78106063163357e-10	1.55710157650442e-06
ENSMUSG00000039954	Stk32a	269019	serine/threonine kinase 32A	-0.0350519471030399	0.2571230607251	-0.893042424061714	3.69514423335027	27.6480003961975	1.21601303066902e-09	1.91670676145231e-06
ENSMUSG00000047963	Stbd1	52331	starch binding domain 1	-2.05115453585441	-1.04897104622072	-1.32883706361354	2.05322745541363	26.6112340406049	1.9810290405944e-09	2.81028779698722e-06
ENSMUSG00000048349	Pou4f1	18996	POU domain, class 4, transcription factor 1	1.08659819482691	1.04451168180895	0.422256603548298	4.17917407905119	25.9369136805426	2.73982583579911e-09	3.53337902787693e-06
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	-1.6693560610328	-1.55170324267795	-0.352433088071622	4.08502126807864	26.6576701240087	3.52814743783567e-09	4.17085829609474e-06
ENSMUSG00000027500	Stmn2	20257	stathmin-like 2	-0.398172692240755	-0.425785508322015	0.246591570510923	5.96207388046015	24.9775226406915	4.38853993743429e-09	4.78890981172637e-06
