Pathway	N	Up	Down	P.Up	P.Down
Staphylococcus aureus infection	23	10	0	1.07027803015072e-11	1
Complement and coagulation cascades	34	10	0	1.0036891812482e-09	1
Hematopoietic cell lineage	46	11	1	1.6587533425547e-09	0.718017216328701
Osteoclast differentiation	90	13	1	3.68276759531031e-08	0.916315106584509
Jak-STAT signaling pathway	95	12	2	5.5721218904602e-07	0.732941047398654
cAMP signaling pathway	159	3	17	0.640023950588715	1.47832512933474e-06
Neuroactive ligand-receptor interaction	154	3	16	0.618495913273484	4.38301093102274e-06
Cytokine-cytokine receptor interaction	118	12	3	5.70686444800254e-06	0.624146861694548
PI3K-Akt signaling pathway	268	18	8	1.14896869130552e-05	0.441304519515636
Adrenergic signaling in cardiomyocytes	119	2	13	0.707265586610624	2.01957409286675e-05
Dopaminergic synapse	119	1	13	0.916965947310194	2.01957409286675e-05
Aminoacyl-tRNA biosynthesis	44	7	0	2.92853075024101e-05	1
Pertussis	49	7	3	6.01176804005782e-05	0.146900471799135
Acute myeloid leukemia	59	7	1	0.000200300739695564	0.802974856855413
MicroRNAs in cancer	125	10	2	0.00026066253170348	0.856676429313567
Gap junction	79	2	9	0.486724815317296	0.00027694885540523
Leishmaniasis	45	6	0	0.000301479284772745	1
TNF signaling pathway	84	8	2	0.000331922206548622	0.668666993630881
Transcriptional misregulation in cancer	131	10	5	0.000380437021490957	0.282458506807643
Steroid biosynthesis	14	0	4	1	0.000428480613181357
